1178	13	21	23	25	34	39	9	4
1179	16	21	30	32	37	40	12	8
1180	3	6	11	18	22	29	20	6
1181	3	4	28	30	34	39	13	5
1182	3	8	11	13	19	36	29	7
1183	11	14	15	19	23	36	39	5
1184	14	25	29	33	35	38	40	9
1185	11	15	21	24	37	38	36	4
1186	9	14	16	20	36	40	34	4
1187	5	11	26	30	37	39	14	5
1188	4	7	12	14	15	16	22	6
1189	19	23	25	30	31	32	6	6
1190	7	12	15	27	37	39	23	3
1191	7	13	14	16	17	36	28	8
1192	3	5	6	21	27	38	28	1
1193	3	9	29	30	35	39	19	4
1194	1	16	18	30	33	40	23	8
1195	4	8	16	20	31	38	11	5
1196	10	11	14	18	22	31	21	2
1197	16	19	23	26	27	32	25	10
1198	1	4	14	18	25	36	30	8
1199	1	10	12	21	27	31	9	3
1200	7	11	16	20	25	30	34	6
1201	10	12	30	32	36	38	21	2
1202	14	18	30	33	36	37	29	3
1203	5	7	8	11	28	35	25	8
1204	1	6	17	21	24	34	40	10
1205	2	10	11	18	22	25	16	5
1206	5	8	10	24	28	35	36	6
1207	1	11	12	22	32	36	35	6
1208	1	8	22	26	28	38	9	3
1209	4	18	24	28	34	35	14	6
1210	2	11	13	23	29	30	18	5
1211	10	13	17	22	23	33	25	4
1212	3	7	11	26	38	40	12	6
1213	16	18	31	35	36	39	37	3
1214	1	2	5	31	34	39	25	2
1215	9	12	19	23	32	37	4	4
1216	4	5	11	14	27	32	1	10
1217	5	13	30	34	37	40	38	2
1218	1	6	22	28	35	38	32	9
1219	9	14	15	31	35	38	29	10
1220	4	23	27	34	37	40	13	10
1221	2	7	16	21	25	28	13	2
1222	11	20	28	31	32	38	10	1
1223	6	15	19	28	33	35	36	10
1224	6	9	12	17	23	30	3	8
1225	1	7	8	32	36	38	21	3
1226	1	14	19	21	32	34	30	10
1227	2	3	11	13	16	26	8	8
1228	1	19	26	28	38	39	27	4
1229	3	6	10	12	22	25	28	5
1230	5	10	13	29	34	37	7	8
1231	5	10	16	20	36	37	30	10
